journal_no,journal_accreditation,journal_url
2394,SYSTEMIC: Information System and Informatics Journal,http://jurnalsaintek.uinsby.ac.id/index.php/SYSTEMIC
2395,Tarbawi : Jurnal Pendidikan Agama Islam,https://journal.unismuh.ac.id/index.php/tarbawi
2396,Multilateral: Jurnal Pendidikan Jasmani Dan Olahraga,https://ppjp.ulm.ac.id/journal/index.php/multilateralpjkr/index
2397,Agrisaintifika: Jurnal Ilmu-Ilmu Pertanian,http://jurnal.agrisaintifika-fpunivet.ac.id/index.php
2398,JOISIE (Journal Of Information Systems And Informatics Engineering),http://www.ejournal.pelitaindonesia.ac.id/ojs32/index.php/JOISIE
2399,Sains Medika : Jurnal Kedokteran dan Kesehatan,http://jurnal.unissula.ac.id/index.php/sainsmedika/issue/archive
2400,"MUST: Journal of Mathematics Education, Science and Technology",http://journal.um-surabaya.ac.id/index.php/matematika
2401,Jurnal Ilmiah Biosaintropis (BIOSCIENCE-TROPIC),http://biosaintropis.unisma.ac.id
2402,Inovasi Pembangunan : Jurnal Kelitbangan,http://journalbalitbangdalampung.org/index.php/jip
2403,JURNAL FONDASI,http://jurnal.untirta.ac.id/index.php/jft
2404,Dinamisia : Jurnal Pengabdian Kepada Masyarakat,https://journal.unilak.ac.id/index.php/dinamisia/index
2405,Iltizam Journal of Shariah Economic Research,http://e-journal.lp2m.uinjambi.ac.id/ojp/index.php/iltizam/INDEXING
2406,Syntax Literate : Jurnal Ilmiah Indonesia,http://www.jurnal.syntaxliterate.co.id/index.php/syntax-literate
2407,Kajian Linguistik dan Sastra,http://journals.ums.ac.id/index.php/KLS
2408,PROJECT (Professional Journal of English Education),https://journal.ikipsiliwangi.ac.id/index.php/project
2409,Jurnal Pendidikan Dasar Nusantara,http://ojs.unpkediri.ac.id/index.php/pgsd
2410,Jurnal Pelita Pendidikan,http://jurnal.unimed.ac.id/2012/index.php/pelita/index
2411,Lex Jurnalica,https://ejurnal.esaunggul.ac.id/index.php/Lex
2412,Chimica et Natura Acta,http://jurnal.unpad.ac.id/jcena/index
2413,Jurnal Plastik Rekonstruksi,http://www.jprjournal.com/index.php/jpr
2414,"Jurnal Ilmiah Muqoddimah : Jurnal Ilmu Sosial, Politik, dan Humaniora",http://jurnal.um-tapsel.ac.id/index.php/muqoddimah
2415,Hang Tuah Law Journal,http://law-journal.hangtuah.ac.id/index.php/htlj
2416,Jurnal Inovasi Ekonomi,http://ejournal.umm.ac.id/index.php/JIKO/index
2417,Wardah,http://jurnal.radenfatah.ac.id/index.php/warda
2418,Petir: Jurnal Pengkajian dan Penerapan Teknik Informatika,https://stt-pln.e-journal.id/petir/issue/view/1
2419,Ibriez : Jurnal Kependidikan Dasar Islam Berbasis Sains,http://ibriez.iainponorogo.ac.id/index.php/ibriez
2420,Liquidity: Jurnal Riset Akuntansi dan Manajemen,http://ojs.itb-ad.ac.id/index.php/LQ
2421,Kesmas Indonesia,http://jos.unsoed.ac.id/index.php/kesmasindo/
2422,Jurnal Nomosleca,http://jurnal.unmer.ac.id/index.php/n
2423,Jurnal Pemikiran dan Penelitian Psikologi Insight,http://jurnal.unmuhjember.ac.id/index.php/INSIGHT
2424,VANOS Journal of Mechanical Engineering Education,https://jurnal.untirta.ac.id/index.php/vanos
2425,Jurnal Teknologi Agro-Industri,http://jtai.politala.ac.id/index.php/JTAI
2426,Chempublish Journal,https://online-journal.unja.ac.id/chp
2427,Jurnal Sains dan Teknologi Pangan,http://ojs.uho.ac.id/index.php/jstp
2428,Journal of Aceh Physics Society,http://www.jurnal.unsyiah.ac.id/JAcPS/index
2429,E-Jurnal Ekonomi dan Bisnis Universitas Udayana,https://ojs.unud.ac.id/index.php/EEB/index
2430,"Jurnal Ecotipe (Electronic, Control, Telecommunication, Information, and Power Engineering)",http://journal.ubb.ac.id/index.php/ecotipe
2431,Jurnal Elemen,http://je.politala.ac.id/index.php/JE
2432,Jurnal Teknik : Media Pengembangan Ilmu dan Aplikasi Teknik,http://jurnalteknik.unjani.ac.id/index.php/jt
2433,Jurnal Ilmiah Farmasi Farmasyifa (JIFF),https://ejournal.unisba.ac.id/index.php/Farmasyifa/index
2434,Cendekia Journal of Pharmacy,https://cjp.jurnal.stikescendekiautamakudus.ac.id/index.php/cjp/index
2435,Jurnal Agronida,http://ojs.unida.ac.id/index.php/JAG
2436,Journal of Applied Informatics and Computing (JAIC),https://jurnal.polibatam.ac.id/index.php/jaic
2437,Jetri : Jurnal Ilmiah Teknik Elektro,http://www.trijurnal.lemlit.trisakti.ac.id/index.php/jetri
2438,Quagga: Jurnal Pendidikan dan Biologi,https://journal.uniku.ac.id/index.php/quagga
2439,Jurnal Harkat : Media Komunikasi Gender,http://journal.uinjkt.ac.id/index.php/psga/index
