,journal_name,journal_url,journal_accreditation
0,JPP Undiksha,https://ejournal.undiksha.ac.id/index.php/JPP,S2 Accredited
0,JEMA: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,http://riset.unisma.ac.id/index.php/jema/issue/archive,S2 Accredited
0,Aspirasi : Jurnal Masalah-masalah Sosial,http://jurnal.dpr.go.id/index.php/aspirasi,S2 Accredited
0,"Jurnal Pendidikan Geografi: Kajian, Teori, dan Praktik dalam Bidang Pendidikan dan Ilmu Geografi",http://journal2.um.ac.id/index.php/jpg,S2 Accredited
0,AL-TANZIM : JURNAL MANAJEMEN PENDIDIKAN ISLAM,https://ejournal.unuja.ac.id/index.php/al-tanzim/issue/archive,S2 Accredited
0,Jurnal Ekonomi dan Pembangunan Indonesia,https://scholarhub.ui.ac.id/jepi/,S2 Accredited
0,Journal Sport Area,http://journal.uir.ac.id/index.php/JSP/issue/view/48,S2 Accredited
0,Accounting Analysis Journal,https://journal.unnes.ac.id/sju/index.php/aaj,S2 Accredited
0,Journal of Information Systems Engineering and Business Intelligence,http://e-journal.unair.ac.id/index.php/JISEBI/issue/archive,S2 Accredited
0,IJCCS (Indonesian Journal of Computing and Cybernetics Systems),https://jurnal.ugm.ac.id/ijccs,S2 Accredited
0,Jurnal Studi Komunikasi dan Media,https://jurnal.kominfo.go.id/index.php/jskm,S2 Accredited
0,Jurnal Ilmiah Kebijakan Hukum,http://ejournal.balitbangham.go.id/index.php/kebijakan/issue/archive,S2 Accredited
0,Jurnal Sejarah Citra Lekha,http://ejournal.undip.ac.id/index.php/jscl/index,S2 Accredited
0,JEES (Journal of English Educators Society),http://ojs.umsida.ac.id/index.php/jees,S2 Accredited
0,Al-Tadzkiyyah: Jurnal Pendidikan Islam,http://ejournal.radenintan.ac.id/index.php/tadzkiyyah/issue/archive,S2 Accredited
0,Psikopedagogia,http://journal.uad.ac.id/index.php/PSIKOPEDAGOGIA,S2 Accredited
0,Jurnal PEKOMMAS,https://jurnal.kominfo.go.id/index.php/pekommas/index,S2 Accredited
0,Jurnal Ilmu Sosial dan Humaniora,http://ejournal.undiksha.ac.id/index.php/JISH/,S2 Accredited
0,JOIN (Jurnal Online Informatika),http://join.if.uinsgd.ac.id/index.php/join,S2 Accredited
0,DIJB (Diponegoro International Journal of Business),https://ejournal2.undip.ac.id/index.php/ijb,S2 Accredited
0,Journal of Educational Science and Technology,http://ojs.unm.ac.id/index.php/JEST/index,S2 Accredited
0,JEPIN (Jurnal Edukasi dan Penelitian Informatika),http://jurnal.untan.ac.id/index.php/jepin/index,S2 Accredited
