journal_name,journal_url,journal_accreditation
"JOIN (Jurnal Online Informatika)","http://join.if.uinsgd.ac.id/index.php/join","S2 Accredited"
"Jurnal Ilmu Sosial dan Humaniora","http://ejournal.undiksha.ac.id/index.php/JISH/","S2 Accredited"
"Al-Tadzkiyyah: Jurnal Pendidikan Islam","http://ejournal.radenintan.ac.id/index.php/tadzkiyyah/issue/archive","S2 Accredited"
"Jurnal Pendidikan Geografi: Kajian, Teori, dan Praktik dalam Bidang Pendidikan dan Ilmu Geografi","http://journal2.um.ac.id/index.php/jpg","S2 Accredited"
"Jurnal Kependidikan: Jurnal Hasil Penelitian dan Kajian Kepustakaan di Bidang Pendidikan, Pengajaran, dan Pembelajaran","https://e-journal.undikma.ac.id/index.php/jurnalkependidikan/index","S2 Accredited"
"Journal of Educational Science and Technology","http://ojs.unm.ac.id/index.php/JEST/index","S2 Accredited"
"JEES (Journal of English Educators Society)","http://ojs.umsida.ac.id/index.php/jees","S2 Accredited"
"MIMBAR : Jurnal Sosial dan Pembangunan","https://ejournal.unisba.ac.id/index.php/mimbar/issue/archive","S2 Accredited"
"Jurnal Minds: Manajemen Ide dan Inspirasi","http://journal.uin-alauddin.ac.id/index.php/minds","S2 Accredited"
"JEPIN (Jurnal Edukasi dan Penelitian Informatika)","http://jurnal.untan.ac.id/index.php/jepin/index","S2 Accredited"
"Izdihar : Journal of Arabic Language Teaching, Linguistics, and Literature","http://ejournal.umm.ac.id/index.php/izdihar","S2 Accredited"
"IBDA` : Jurnal Kajian Islam dan Budaya","http://ejournal.uinsaizu.ac.id/index.php/ibda","S2 Accredited"
"Jurnal Ekonomi dan Pembangunan Indonesia","https://scholarhub.ui.ac.id/jepi/","S2 Accredited"
"Jurnal Pendidikan : Teori, Penelitian, dan Pengembangan","http://journal.um.ac.id/index.php/jptpp/index","S2 Accredited"
"Jurnal Dinamika Akuntansi dan Bisnis","http://jurnal.unsyiah.ac.id/JDAB/index","S2 Accredited"
"Indonesian Treasury Review: Jurnal Perbendaharaan, Keuangan Negara, dan Kebijakan Publik","http://itrev.kemenkeu.go.id/index.php/ITRev","S2 Accredited"
"Eralingua : Jurnal Pendidikan Bahasa Asing dan Sastra","https://ojs.unm.ac.id/eralingua/index","S2 Accredited"
"Jurnal Pendidikan Usia Dini","http://journal.unj.ac.id/unj/index.php/jpud/","S2 Accredited"
"Al-Jabar: Jurnal Pendidikan Matematika","http://ejournal.radenintan.ac.id/index.php/al-jabar/issue/archive","S2 Accredited"
"Journal of Natural Science and Integration","http://ejournal.uin-suska.ac.id/index.php/JNSI/index","S2 Accredited"
"Dinamika Ilmu","https://journal.uinsi.ac.id/index.php/dinamika_ilmu","S2 Accredited"
"Aspirasi : Jurnal Masalah-masalah Sosial","http://jurnal.dpr.go.id/index.php/aspirasi","S2 Accredited"
"Jurnal Konseling dan Pendidikan","http://jurnal.konselingindonesia.com/index.php/jkp","S2 Accredited"
"DIJB (Diponegoro International Journal of Business)","https://ejournal2.undip.ac.id/index.php/ijb","S2 Accredited"
"Ziswaf : Jurnal Zakat dan Wakaf","http://journal.stainkudus.ac.id/index.php/Ziswaf","S2 Accredited"
"AKRUAL: Jurnal Akuntansi","https://journal.unesa.ac.id/index.php/aj/index","S2 Accredited"
"Lontar Komputer: Jurnal Ilmiah Teknologi Informasi","https://ojs.unud.ac.id/index.php/lontar","S2 Accredited"
"Computer Science and Information Technologies","http://iaesprime.com/index.php/csit","S2 Accredited"
"Indonesian Journal of English Language Teaching and Applied Linguistics","http://ijeltal.org/index.php/ijeltal/issue/archive","S2 Accredited"
"Indonesian Journal of Information System","https://ojs.uajy.ac.id/index.php/IJIS","S2 Accredited"
"Jurnal Ekonomi & Kebijakan Publik","http://jurnal.dpr.go.id/index.php/ekp","S2 Accredited"
