journal_no,journal_id,journal_name,journal_accreditation,journal_url
4271,/journals/detail/?id=5175,Studia Religia: Jurnal Pemikiran dan Pendidikan Islam,S5,http://journal.um-surabaya.ac.id/index.php/Studia
4272,/journals/detail/?id=5466,Dinamika : Jurnal Ilmiah Ilmu Administrasi Negara,S5,https://jurnal.unigal.ac.id/index.php/dinamika
4273,/journals/detail/?id=6727,Jurnal Ilmiah Betrik : Besemah Teknologi Informasi dan Komputer,S5,https://ejournal.lppmsttpagaralam.ac.id/index.php/betrik
4274,/journals/detail/?id=4727,"Al-Mada: Jurnal Agama, Sosial, dan Budaya",S5,http://e-journal.ikhac.ac.id/index.php/almada
4275,/journals/detail/?id=6375,Jurnal Pengabdian Masyarakat (JPM-IKP),S5,http://trilogi.ac.id/journal/ks/index.php/jpmikp
4276,/journals/detail/?id=4914,Jike: Jurnal Ilmu Komunikasi Efek,S5,http://e-journal.umc.ac.id/index.php/jike
4277,/journals/detail/?id=5715,Jurnal Hexagro,S5,https://www.e-journal.unper.ac.id/index.php/hexagro
4278,/journals/detail/?id=4185,Syiah Kuala Law Journal,S5,http://www.jurnal.unsyiah.ac.id/SKLJ
4279,/journals/detail/?id=6871,"ALSUNIYAT: Jurnal Penelitian Bahasa, Sastra, dan Budaya Arab",S5,https://ejournal.upi.edu/index.php/alsuniyat
4280,/journals/detail/?id=5643,Jurnal Kreativitas Pengabdian Kepada Masyarakat (PKM),S5,http://ejurnalmalahayati.ac.id/index.php/kreativitas
4281,/journals/detail/?id=4993,TAPAK (Teknologi Aplikasi Konstruksi): Jurnal Program Studi Teknik Sipil,S5,"<a class=""hvr-grow"" data-uk-tooltip="""" href=""http://risbang.ristekdikti.go.id/"" target=""_blank"" title=""Data Riset dan Pengembangan Ristekdikti"">Risbang</a>"
4282,/journals/detail/?id=4140,Ekuitas: Jurnal Pendidikan Ekonomi,S5,https://ejournal.undiksha.ac.id/index.php/EKU
4283,/journals/detail/?id=4740,Jurnal Kesehatan Terpadu,S5,https://jurnal.undhirabali.ac.id/index.php/kesehatan
4284,/journals/detail/?id=6521,VIDYA WERTTA : Media Komunikasi Universitas Hindu Indonesia,S5,https://ejournal.unhi.ac.id/index.php/vidyawertta
4285,/journals/detail/?id=4148,Journals of Ners Community,S5,https://journal.unigres.ac.id/index.php/JNC/index
4286,/journals/detail/?id=5705,Buana Ilmu,S5,http://journal.ubpkarawang.ac.id/index.php/BuanaIlmu
4287,/journals/detail/?id=457,Jurnal Hukum Positum,S5,http://journal.unsika.ac.id/index.php/positum
4288,/journals/detail/?id=3776,Interest : Jurnal Ilmu Kesehatan,S5,https://jurnalinterest.com/index.php/int
4289,/journals/detail/?id=6302,Lentera: Jurnal Ilmiah Kependidikan,S5,http://jurnal.stkippgribl.ac.id/index.php/lentera
4290,/journals/detail/?id=522,AL-HURRIYAH: JURNAL HUKUM ISLAM,S5,http://ejournal.iainbukittinggi.ac.id/index.php/alhurriyah/index
4291,/journals/detail/?id=5325,Attadib: Journal of Elementary Education,S5,"<a class=""hvr-grow"" data-uk-tooltip="""" href=""http://risbang.ristekdikti.go.id/"" target=""_blank"" title=""Data Riset dan Pengembangan Ristekdikti"">Risbang</a>"
4292,/journals/detail/?id=4904,Al-Bayyinah,S5,https://jurnal.iain-bone.ac.id/index.php/albayyinah
4293,/journals/detail/?id=6626,Jurnal Pendidikan Luar Sekolah,S5,http://ejournal.uika-bogor.ac.id/index.php/JPLS
4294,/journals/detail/?id=5661,CERIA (Cerdas Energik Responsif Inovatif Adaptif),S5,https://journal.ikipsiliwangi.ac.id/index.php/ceria
4295,/journals/detail/?id=4827,Tahkim: Jurnal Hukum Dan Syariah,S5,https://journal.ikipsiliwangi.ac.id/index.php/ceria
4296,/journals/detail/?id=6299,Qistie: Jurnal Ilmu Hukum,S5,http://publikasiilmiah.unwahas.ac.id/index.php/QISTIE
4297,/journals/detail/?id=5801,JURNAL PENDIDIKAN ISLAM AL-ILMI,S5,http://lonsuit.unismuhluwuk.ac.id/index.php/ilmi
4298,/journals/detail/?id=6582,Jurnal Bisnis Tani,S5,http://jurnal.utu.ac.id/jbtani
4299,/journals/detail/?id=4376,Altius: Jurnal Ilmu Olahraga dan Kesehatan,S5,https://ejournal.unsri.ac.id/index.php/altius
4300,/journals/detail/?id=4942,"Jurnalistrendi: Jurnal Linguistik, Sastra, dan Pendidikan",S5,http://ejournal.unwmataram.ac.id/trendi
4301,/journals/detail/?id=6160,EKOMBIS : Jurnal Fakultas Ekonomi,S5,"<a class=""hvr-grow"" data-uk-tooltip="""" href=""http://risbang.ristekdikti.go.id/"" target=""_blank"" title=""Data Riset dan Pengembangan Ristekdikti"">Risbang</a>"
4302,/journals/detail/?id=4863,SAINS : Jurnal Manajemen dan Bisnis,S5,http://jurnal.untirta.ac.id/index.php/jsm
4303,/journals/detail/?id=5717,Jurnal 'Aisyiyah Medika,S5,http://jurnal.stikes-aisyiyah-palembang.ac.id/index.php/JAM
4304,/journals/detail/?id=4358,"KURVATEK : Journal Technology of Civic, Electrical, Mechanical, Geology, Minning and Urban Design",S5,https://journal.itny.ac.id/index.php/krvtk/index
4305,/journals/detail/?id=6404,"MIZAN, Jurnal Ilmu Hukum",S5,https://ejournal.uniska-kediri.ac.id/index.php/Mizan
4306,/journals/detail/?id=6095,ProBank: Jurnal Ekonomi dan Perbankan,S5,https://www.e-journal.stie-aub.ac.id/index.php/probank
4307,/journals/detail/?id=3489,Jurnal Penelitian Teori & Terapan Akuntansi (PETA),S5,http://journal.stieken.ac.id/index.php/peta
4308,/journals/detail/?id=560,JURNAL INFORMATIKA GLOBAL,S5,http://ejournal.uigm.ac.id/index.php/IG
4309,/journals/detail/?id=562,Emabis: Journal of Economics Management and Business,S5,http://journal.unimal.ac.id/emabis/
4310,/journals/detail/?id=2179,JURNAL HANDAYANI PGSD FIP UNIMED,S5,http://jurnal.unimed.ac.id/2012/index.php/handayani
